Reg_No,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9
CE306,,,,,,,,,
CE334,,,,,,,,,
CE308,,,,,,,,,
CE352,,,,,,,,,
HS300,,,,,,,,,
CE362,,,,,,,,,
CE302,,,,,,,,,
CE366,,,,,,,,,
CE368,,,,,,,,,
CE304,,,,,,,,,
CE332,,,,,,,,,
Register No,Course Code (Grade),,,,,,,,
MAC15CS023,HS300(C), CS302(A), CS304(B), CS306(B+), CS308(C), CS368(B+), CS332(B+), CS334(B+),
MAC15CS024,HS300(C), CS302(C), CS304(C), CS306(C), CS308(B), CS368(C), CS332(B+), CS334(B),
MAC15CS025,HS300(B+), CS302(B), CS304(B), CS306(B+), CS308(B), CS368(B+), CS332(C), CS334(C),
MAC15CS026,HS300(B), CS302(B), CS304(F), CS306(C), CS308(C), CS368(P), CS332(C), CS334(C),
MAC15CS028,HS300(B+), CS302(B+), CS304(B+), CS306(B+), CS308(B), CS368(A+), CS332(O), CS334(A),
MAC15CS029,HS300(B), CS302(B), CS304(B), CS306(B), CS308(C), CS368(A), CS332(O), CS334(B+),
MAC15CS030,HS300(A), CS302(C), CS304(B), CS306(B+), CS308(B), CS368(A), CS332(B+), CS334(B+),
MAC15CS032,HS300(C), CS302(B), CS304(C), CS306(C), CS308(C), CS368(C), CS332(B+), CS334(B),
MAC15CS033,HS300(B), CS302(B), CS304(B), CS306(B+), CS308(B), CS368(A+), CS332(B), CS334(B+),
MAC15CS034,HS300(C), CS302(C), CS304(C), CS306(B), CS308(F), CS368(B), CS332(O), CS334(O),
MAC15CS035,HS300(C), CS302(C), CS304(F), CS306(C), CS308(F), CS368(B), CS332(B), CS334(C),
MAC15CS036,HS300(B), CS302(C), CS304(C), CS306(B+), CS308(B), CS368(B), CS332(O), CS334(O),
MAC15CS037,HS300(O), CS302(A+), CS304(A+), CS306(O), CS308(A+), CS368(B+), CS332(O), CS334(O),
MAC15CS038,HS300(B), CS302(C), CS304(C), CS306(C), CS308(C), CS368(C), CS332(B), CS334(B),
MAC15CS039,HS300(B+), CS302(B), CS304(B), CS306(B), CS308(B), CS368(B+), CS332(A), CS334(O),
MAC15CS040,HS300(F), CS302(C), CS304(F), CS306(B), CS308(F), CS368(C), CS332(B+), CS334(A),
MAC15CS041,HS300(B), CS302(C), CS304(C), CS306(C), CS308(F), CS368(P), CS332(B), CS334(B),
MAC15CS042,HS300(B+), CS302(B+), CS304(B), CS306(B+), CS308(C), CS368(B), CS332(B+), CS334(A),
MAC15CS043,HS300(A), CS302(B+), CS304(B+), CS306(B+), CS308(B), CS368(B+), CS332(A+), CS334(A),
MAC15CS044,HS300(A), CS302(B), CS304(B), CS306(B), CS308(B+), CS368(B+), CS332(B+), CS334(A),
MAC15CS045,HS300(A), CS302(B+), CS304(B), CS306(B+), CS308(B), CS368(A), CS332(B+), CS334(A),
MAC15CS046,HS300(B), CS302(B), CS304(B), CS306(B), CS308(B), CS368(B), CS332(B+), CS334(B+),
MAC15CS047,HS300(B+), CS302(B+), CS304(A+), CS306(B+), CS308(B), CS368(A), CS332(O), CS334(O),
MAC15CS048,HS300(B), CS302(B), CS304(B), CS306(B+), CS308(B), CS368(B), CS332(B+), CS334(B+),
MAC15CS049,HS300(B+), CS302(B+), CS304(B+), CS306(B+), CS308(B+), CS368(B+), CS332(A+), CS334(O),
MAC15CS050,HS300(B), CS302(B), CS304(F), CS306(C), CS308(F), CS368(B+), CS332(B), CS334(A+),
MAC15CS051,HS300(A+), CS302(B+), CS304(A), CS306(B+), CS308(B), CS368(A), CS332(O), CS334(A+),
MAC15CS052,HS300(A), CS302(B), CS304(F), CS306(B), CS308(B), CS368(C), CS332(B), CS334(B+),
MAC15CS053,HS300(C), CS302(C), CS304(F), CS306(P), CS308(F), CS368(P), CS332(B), CS334(B),
MAC15CS054,HS300(B), CS302(B), CS304(C), CS306(C), CS308(C), CS368(C), CS332(C), CS334(B),
MAC15CS055,HS300(B+), CS302(B), CS304(B), CS306(B+), CS308(B+), CS368(A), CS332(O), CS334(A+),
MAC15CS056,HS300(A), CS302(B), CS304(B), CS306(B+), CS308(B), CS368(B), CS332(C), CS334(B+),
MAC15CS057,HS300(C), CS302(C), CS304(C), CS306(C), CS308(C), CS368(B), CS332(B), CS334(B+),
MAC15CS058,HS300(B+), CS302(B), CS304(C), CS306(C), CS308(B), CS368(B+), CS332(B), CS334(B+),
MAC15CS059,HS300(B), CS302(C), CS304(C), CS306(B), CS308(B), CS368(C), CS332(B), CS334(B),
MAC15CS061,HS300(B+), CS302(B+), CS304(B), CS306(B+), CS308(C), CS368(B+), CS332(O), CS334(A+),
